JD_TBD,MET,segmentID,segmentType,configID,propaMode,forcesID,atmosModel,activeSC,x,y,z,vx,vy,vz,EarthOESMA,EarthOEeccentricity,EarthOERAAN,EarthOEargPeriapsis,EarthOEinclination,EarthOEtrueAnomaly,EarthOEmeanAnomaly
2459945.5073979623,570.0,0,0,0,1,0,nrlmsise00,0,2948409.013009029,-4889323.746966499,4011961.5166919385,-3286.3607969379027,3022.126731358544,6098.186954799751,6978139.907792717,1.3213733854398647e-08,306.6148021947983,180.09999995456099,97.80000000000003,215.37177523899496,215.37177611552414
2459945.507513703,580.0,0,0,0,1,0,nrlmsise00,0,2915373.1167970095,-4858816.300779867,4072706.883519108,-3320.7538570809547,3079.3028609491844,6050.767647538682,6978139.907792723,1.3213733358030667e-08,306.6148021947983,180.0999981383524,97.8,215.99233451679643,215.99233540664653
2459945.507629444,590.0,0,0,0,1,0,nrlmsise00,0,2881995.2343365066,-4827738.893805301,4132974.5036934586,-3354.757378018194,3136.117774616768,6002.638558277001,6978139.907792717,1.3213733554823395e-08,306.6148021947983,180.0999986380694,97.80000000000003,216.61289147877665,216.6128923818433
2459945.5077451845,600.0,0,0,0,1,0,nrlmsise00,0,2848279.2810016754,-4796095.171560878,4192757.3075546552,-3388.3673709851273,3192.564807718958,5953.805332770654,6978139.907792723,1.321373346759548e-08,306.6148021947983,180.0999990885948,97.8,217.23344849005446,217.2334494062317
2459945.507860925,610.0,0,0,0,1,0,nrlmsise00,0,2814229.211823892,-4763888.84599598,4252048.282313468,-3421.579893379838,3248.637338767434,5904.273699373902,6978139.907792717,1.3213733492521633e-08,306.6148021947983,180.0999998122411,97.80000000000003,217.8540052283188,217.85400615749916
2459945.507976666,620.0,0,0,0,1,0,nrlmsise00,0,2779849.0210278076,-4731123.695055867,4310840.472874407,-3454.3910492254668,3304.328790204622,5854.04946836736,6978139.907792717,1.3213733450943481e-08,306.6148021947983,180.09999984622038,97.80000000000003,218.47456265635915,218.4745635984336
2459945.5080924067,630.0,0,0,0,1,0,nrlmsise00,0,2745142.7415628107,-4697803.562238495,4369126.982651583,-3486.796989627231,3359.6326291752744,5803.138531276423,6978139.907792717,1.3213733334823117e-08,306.61480219479836,180.09999977019905,97.8,219.0951201945107,219.09512114936874
2459945.5082081473,640.0,0,0,0,1,0,nrlmsise00,0,2710114.4446299444,-4663932.356143675,4426900.974377711,-3518.7939132239158,3414.5423682928,5751.546860180169,6978139.907792723,1.3213733448412032e-08,306.6148021947983,180.09999922339424,97.8,219.71567820355767,219.71567917108737
2459945.5083238883,650.0,0,0,0,1,0,nrlmsise00,0,2674768.239204335,-4629514.05001456,4484155.670906149,-3550.378066633788,3469.051566400263,5699.280507010804,6978139.907792717,1.3213733510300623e-08,306.6148021947983,180.0999991319338,97.8,220.3362357573738,220.33623673746158
2459945.508439629,660.0,0,0,0,1,0,nrlmsise00,0,2639108.2715531928,-4594552.681271579,4540884.3560058875,-3581.5457448948896,3523.153829325961,5646.345602843747,6978139.907792717,1.3213733458721698e-08,306.6148021947983,180.09999912384274,97.8,220.95679322793544,220.95679422046635
2459945.5085553695,670.0,0,0,0,1,0,nrlmsise00,0,2603138.7247494347,-4559052.351038821,4597080.375149396,-3612.293291899642,3576.8428106334904,5592.748357178422,6978139.907792717,1.3213733609137321e-08,306.6148021947983,180.09999933566365,97.8,221.5773504787016,221.57735148355923
2459945.5086711105,680.0,0,0,0,1,0,nrlmsise00,0,2566863.818180992,-4523017.22366296,4652737.136293227,-3642.617100823726,3630.112212366208,5538.495057209864,6978139.907792717,1.3213733770402496e-08,306.6148021947983,180.09999988630514,97.8,222.19790739076504,222.19790840783153
2459945.508786851,690.0,0,0,0,1,0,nrlmsise00,0,2530287.8070558584,-4486451.526224757,4707848.110651292,-3672.513614549178,3682.9557857860145,5483.5920670912,6978139.907792717,1.3213733573638382e-08,306.6148021947983,180.09999923105116,97.8,222.81846550884327,222.81846653799929
2459945.5089025917,700.0,0,0,0,1,0,nrlmsise00,0,2493414.9819029337,-4449359.548043203,4762406.833460716,-3701.9793260816546,3735.3673321063534,5428.045827187102,6978139.907792717,1.3213733666967101e-08,306.6148021947983,180.09999895019126,97.8,223.43902325264813,223.43902429377295
